id	page No.	title	romanlized	google translated	duration
590	652	၄။ ကမ္မပစ္စယ စိတ္တသမုဋ္ဌာနရုပ်	4． kammapaccaya cittasamuṭṭhānarupya	4. The image of Kamma Pissaya Sitta Samutthana	1
591	653	၅။ ကမ္မပစ္စယ အာဟာရသမုဋ္ဌာနရုပ်	5． kammapaccaya āhārasamuṭṭhānarupya	5. Physical nutrition	1
592	654	လိုရင်းမှတ်သားပါ	liုraငya”maှtyasā”pā	Make a note of it	1
593	655	၆။ ကမ္မပစ္စယ ဥတုသမုဋ္ဌာနရုပ်	6． kammapaccaya utusamuṭṭhānarupya	6. The image of Kammapisya Utu Samutthana	0
594	655	စိတ္တဇရုပ်၏ ဖြစ်ပေါ်လာပုံ	cittajarupya၏ phaြcyapoyalāpuṃ	The origin of mental illness	0
595	655	၁။ စိတ္တ = စိတ်	1． citta = citya	1. Mind = mind	1
596	656	စိတ္တဇရုပ် - ဣရိယာပုထ်-ဝိညတ်ရုပ်	cittajarupya - iriyāputhya-viññatyarupya	Psychological image - Iriyaput - Spiritual image	0
597	656	ဣရိယာပထ = ဣရိယာပုထ်	iriyāpatha = iriyāputhya	First adjective = adjective	1
598	657	စိတ္တဇရုပ် နှင့် ဣရိယာပုထ်	cittajarupya naှင’ya iriyāputhya	Psychology and adjectives	1
599	658	]]စိတ္တဇရုပ် သာမန်ကိုသာ ဖြစ်စေနိုင်၏}}	]]cittajarupya sāmanyakiုsā phaြcyaceniုငya၏}}	]] Can only cause normal mental appearance}}	0
600	658	စိတ်စွမ်းအင်များ	cityachamya”aငyamaျာ”	Mental powers	1
601	659	မနောဒွါရိကဇောသာ	manodhārikajosā	Zaw Thar from Manodari	0
602	659	စိတ္တဇရုပ်ကို မဖြစ်စေနိုင်သော စိတ်များ	cittajarupyakiု maphaြcyaceniုငyaso cityamaျာ”	Emotions that can not cause mental illness	1
603	660	ပဋိသန္ဓေစိတ်က စိတ္တဇရုပ်ကို မဖြစ်စေနိုင်ပုံ	paṭisandhecityaka cittajarupyakiု maphaြcyaceniုငyapuṃ	How Pregnancy Doesn't Make You Psycho	3
604	663	ရဟန္တာအရှင်မြတ်တို့၏ စုတိစိတ်	rahantāaraှငyamaြtyatiု’၏ cuticitya	The mind of the arahants	0
605	663	စူးစမ်းဆင်ခြင်ပါ	cū”camya”chaငyakhaြငyapā	Think about it	0
606	663	စုတိစိတ် အယူအဆ	cuticitya ayūacha	The concept of mindfulness	2
607	665	မဓုဋီကာ၏ ချေပချက်	madhuṭīkā၏ khaျpekhaျkya	Madhika's answer	0
608	665	ပဉ္စဝိညာဏ်တို့ ရုပ်ကို မဖြစ်စေပုံ	pañcaviññāṇyatiု’ rupyakiု maphaြcyacepuṃ	How consciousness does not give rise to form	1
609	666	အရူပဝိပါက်က ရုပ်ကို မဖြစ်စေနိုင်ပုံ	arūpavipākyaka rupyakiု maphaြcyaceniုငyapuṃ	How the physical does not transform matter	1
610	667	ဥပါဒ်ခဏ၌သာ ရုပ်ကို ဖြစ်စေနိုင်သည်	upādyakhaṇa၌sā rupyakiု phaြcyaceniုငyasaññya	It can only be formed in a moment	1
611	668	စိတ် + စေတသိက်	citya + cetasikya	Mind + Satisfaction	0
612	668	စိတ်တစ်လုံး၏ စွမ်းအင်	cityatacyaluṃ”၏ chamya”aငya	The power of a mind	1
613	669	၂။ စိတ္တသမုဋ္ဌာန်တရား	2． cittasamuṭṭhānyatarā”	2. The Dhamma of Mindfulness	0
614	669	၃။ စိတ္တပစ္စယတရား	3． cittapaccayatarā”	3. Mindfulness	2
615	671	၄။ စိတ္တပစ္စယ အာဟာရသမုဋ္ဌာနရုပ်	4． cittapaccaya āhārasamuṭṭhānarupya	4. Mental health nutrition	0
616	671	၅။ စိတ္တပစ္စယ ဥတုသမုဋ္ဌာနရုပ်	5． cittapaccaya utusamuṭṭhānarupya	5. Psychological material	0
617	671	ဥတု အာဟာရတို့၏စွမ်းအင်နှင့် စိတ်စွမ်းအင်	utu āhāratiု’၏chamya”aငyanaှင’ya cityachamya”aငya	The energy and mental energy of climate	1
618	672	အာဟာရဇရုပ် ဖြစ်ပုံအပိုင်း	āhārajarupya phaြcyapuṃapiုငya”	The nutritional component	0
619	672	၁။ အာဟာရ	1． āhāra	1. Nutrition	2
620	674	အဇ္ဈောဟရိတဗ္ဗဝတ္ထုက	ajjhoharitabbavatthuka	I'm not sure if I'm going to be able to do that	2
621	676	ဗဟုသုတရေးရာ သိမှတ်စရာ	bahusutare”rā simaှtyacarā	Knowledge	2
622	678	၂။ အာဟာရသမုဋ္ဌာနရုပ်	2． āhārasamuṭṭhānarupya	2. Nutrition	1
623	679	၃။ အာဟာရပစ္စယရုပ်	3． āhārapaccayarupya	3. Nutrition	1
624	680	၄။ အာဟာရပစ္စယ အာဟာရသမုဋ္ဌာနရုပ်	4． āhārapaccaya āhārasamuṭṭhānarupya	4. Nutrition Material Nutrition	1
625	681	စူးစမ်းရမည့် အချက်တစ်ရပ်	cū”camya”ramañña’ya akhaျkyatacyarapya	One thing to look for	2
626	683	၅။ အာဟာရပစ္စယ ဥတုသမုဋ္ဌာနရုပ်	5． āhārapaccaya utusamuṭṭhānarupya	5. Nutrition	2
627	685	နိဿယ - မှီရာ အကြောင်းတရား	nissaya - maှီrā akaြောငya”tarā”	Nitsaya: The cause of dependence	0
628	685	ဥတုဇရုပ်တို့၏ ဖြစ်ပေါ်ပုံ	utujarupyatiု’၏ phaြcyapoyapuṃ	The origin of the idols	1
629	686	၁။ ဥတု = တေဇောဓာတ်	1． utu = tejodhātya	1. Weather = energy	2
630	688	၂။ ဥတုသမုဋ္ဌာန = ဥတုကြောင့် ဖြစ်သောရုပ်	2． utusamuṭṭhāna = utukaြောင’ya phaြcyasorupya	2. Utusamutthana = matter due to weather	1
631	689	၃။ ဥတုပစ္စယရုပ်	3． utupaccayarupya	3. Utopia	1
632	690	၄။ ဥတုပစ္စယ ဥတုသမုဋ္ဌာနရုပ်	4． utupaccaya utusamuṭṭhānarupya	4. Utopisya Utupasamutthana form	0
633	690	ထပ်မံ ရှင်းလင်းချက်	thapyamaṃ raှငya”laငya”khaျkya	Further explanation	3
634	693	ဝိပဿနောဘာသ = ဝိပဿနာဉာဏ်ရောင်	vipassanobhāsa = vipassanāñāṇyaroငya	Vipassana Buddhism = Enlightenment	0
635	693	၅။ ဥတုပစ္စယ အာဟာရသမုဋ္ဌာန	5． utupaccaya āhārasamuṭṭhāna	5. Utopisya Nutrition Center	1
636	694	ဇနက နှင့် ဥပတ္ထမ္ဘက	janaka naှင’ya upatthambhaka	Janaka and Upattamba	1
637	695	မျက်စိ၌ ကြည်သည့် ရုပ်ကလာပ်များကို ခွဲခြားပုံ	maျkyaci၌ kaြññyasañña’ya rupyakalāpyamaျာ”kiု khhaဲkhaြာ”puṃ	How to distinguish corpses in the eye	1
638	696	ရှုပွားသိမ်းဆည်းပုံစနစ်	raှုphā”simya”chaññya”puṃcanacya	Image storage system	1
639	697	သိအောင် ရှုပွားရမည့် အချက်	siaောငya raှုphā”ramañña’ya akhaျkya	Things to know	1
640	698	နား၌တည်ရှိသော ကမ္မဇကလာပ်များကို ရှုပုံ	nā”၌taññyaraှိso kammajakalāpyamaျာ”kiု raှုpuṃ	How to look at the cells in the ear	1
641	699	နှာခေါင်း၌ တည်ရှိသော ကမ္မဇကလာပ်များကို ရှုပုံ	naှာkhoငya”၌ taññyaraှိso kammajakalāpyamaျာ”kiု raှုpuṃ	How to look at the cells in the nose	1
642	700	လျှာ၌တည်ရှိသော ကမ္မဇကလာပ်များကို ရှုပုံ	laျှာ၌taññyaraှိso kammajakalāpyamaျာ”kiု raှုpuṃ	How to look at the cells in the tongue	0
643	700	ကိုယ်၌တည်ရှိသော ကမ္မဇကလာပ်များကို ရှုပုံ	kiုyya၌taññyaraှိso kammajakalāpyamaျာ”kiု raှုpuṃ	How to look at the cells in the body	1
644	701	နှလုံး၌တည်ရှိသော ကမ္မဇကလာပ်များကို ရှုပုံ	naှluṃ”၌taññyaraှိso kammajakalāpyamaျာ”kiု raှုpuṃ	How to look at the cells in the heart	1
645	702	အခက်အခဲကို ကျော်လွှားနိုင်ရေး	akhakyaakhaဲkiု kaျောyalhaှာ”niုငyare”	Overcoming Obstacles	1
646	703	စိတ္တဇရုပ်များကို ရှုပွားသိမ်းဆည်းပုံ	cittajarupyamaျာ”kiု raှုphā”simya”chaññya”puṃ	How to capture emotional images	1
647	704	ဥတုဇရုပ်များကို ရှုပွားသိမ်းဆည်းပုံ	utujarupyamaျာ”kiု raှုphā”simya”chaññya”puṃ	How to save images	4
648	708	အာဟာရဇရုပ်များကို ရှုပွားသိမ်းဆည်းပုံ	āhārajarupyamaျာ”kiု raှုphā”simya”chaññya”puṃ	How to store nutrients	4
649	712	အထူးသတိပြုရန်	athū”satipaြုranya	Be especially careful	0
650	712	နှစ်ခွ - နှစ်ခွ - ရောယှက် ဖြစ်ပုံ	naှcyakhha - naှcyakhha - royaှkya phaြcyapuṃ	Two-leg-two-mix	1
651	713	မဟာဋီကာ၏ ဖွင့်ဆိုချက်	mahāṭīkā၏ phhaင’yachiုkhaျkya	Mahatika's definition	3
652	716	အထူးသတိပြုရန်	athū”satipaြုranya	Be especially careful	1
653	717	ဒွါရ (၆) ပါး - (၆) ဌာန	dhāra (6) pā” - (6) ṭhāna	Six Dwaras - Six Departments	0
654	717	အကြံပေးချက်	akaြံpe”khaျkya	Suggestion	1
655	718	ရုပ်တရားဟု သိမ်းဆည်းပါ	rupyatarā”hu simya”chaññya”pā	Save it as material	1
656	719	(၄၂) ကောဋ္ဌာသ - ဓာတ်ကမ္မဋ္ဌာန်း အကျယ်နည်း	(42) koṭṭhāsa - dhātyakammaṭṭhānya” akaျyyanaññya”	(42) K ဌာdh သtha: How wide is the Dhamma Kamma?	0
657	719	ပထဝီဓာတ်လွန်ကဲသော ပထဝီကောဋ္ဌာသ (၂၀) - တစ ပဉ္စက	pathavīdhātyalhanyakaဲso pathavīkoṭṭhāsa (20) - taca pañcaka	Excessive Geographical Departments (20): One-fifth	0
658	719	(၄၄) မျိုးသော ရုပ်	(44) maျို”so rupya	44 kinds of matter	0
659	719	ဝက္က ပဉ္စက - ပပ္ဖါသ ပဉ္စက	vakka pañcaka - papphāsa pañcaka	ဝက္ က ပ⁇ ္စ က - ပပ္ ပါ သ ပ⁇ ္စ က	1
660	720	မတ္ထလုင်္ဂ ပဉ္စက	matthaluṅga pañcaka	Matthalainga Pyinsa	0
661	720	အာပေါဓာတ်လွန်ကဲသော အာပေါကောဋ္ဌာသ (၁၂) မျိုး - မေဒ ဆက္က	āpodhātyalhanyakaဲso āpokoṭṭhāsa (12) maျို” - meda chakka	The Twelve Apocalypse Types	1
662	721	မုတ္တ ဆက္က	mutta chakka	Motsakka	0
663	721	တေဇောဓာတ်လွန်ကဲသော တေဇောကောဋ္ဌာသ (၄) မျိုး	tejodhātyalhanyakaဲso tejokoṭṭhāsa (4) maျို”	There are four types of Tesla that are extremely powerful	1
664	722	ဝါယောဓာတ်လွန်ကဲသော ဝါယောကောဋ္ဌာသ (၆) မျိုး	vāyodhātyalhanyakaဲso vāyokoṭṭhāsa (6) maျို”	There are six types of radicals	1
665	723	(၄၂) ကောဋ္ဌာသတို့၌ ရှုပုံ စနစ်များ	(42) koṭṭhāsatiု’၌ raှုpuṃ canacyamaျာ”	(42) Perspective systems in the departments	1
666	724	ရုပ်ကလာပ် အမျိုးအစားများ	rupyakalāpya amaျို”acā”maျာ”	Types of corpses	0
667	724	ကမ္မဇရုပ်ကလာပ် (၉) စည်း	kammajarupyakalāpya (9) caññya”	Nine bunches of Kamma characters	0
668	724	စိတ္တဇရုပ်ကလာပ် (၈) စည်း	cittajarupyakalāpya (8) caññya”	Eight mental cells	4
669	728	ဥတုဇ ရုပ်ကလာပ် (၄) စည်း	utuja rupyakalāpya (4) caññya”	Four bunches of Utuza corpse	0
670	728	အာဟာရဇ ရုပ်ကလာပ် (၂) စည်း	āhāraja rupyakalāpya (2) caññya”	Two bundles of nutritional cells	1
671	729	အသံ (၃) မျိုး	asaṃ (3) maျို”	Three kinds of sounds	0
672	729	လက္ခဏာရုပ်များကို ရှုပွားသိမ်းဆည်းပါ	lakkhaṇārupyamaျာ”kiု raှုphā”simya”chaññya”pā	Save the symbols	1
673	730	တိုက်တွန်းချက်	tiုkyathanya”khaျkya	Recommendation	1
674	731	ရုပ်တရားအားလုံးကို ခြုံ၍ သိမ်းဆည်းပါ	rupyatarā”ā”luṃ”kiု khaြုံ၍ simya”chaññya”pā	Save all material things	0
675	731	ရုပ်ကမ္မဋ္ဌာန်းပိုင်း ရှုကွက် အတိုချုပ် မှတ်ရန်	rupyakammaṭṭhānya”piုငya” raှုkhakya atiုkhaျုpya maှtyaranya	To summarize the physical perspective	1
676	732	ဖောက်ပြန်တတ်သောသဘော	phokyapaြnyatatyasosabho	It is perverted	1
677	733	ဗုဒ္ဓအဘိဓမ္မာ၏ ရုပ်ပိုင်းဆိုင်ရာ အယူအဆ	buddhaabhidhammā၏ rupyapiုငya”chiုငyarā ayūacha	Physical concept of Buddha Abhidhamma	2
678	735	ဣရိယာပထ အခန်း နှင့် သမ္ပဇည အခန်း	iriyāpatha akhanya” naှင’ya sampajañña akhanya”	Iriya First Room and Sampaja Room	0
679	735	ဣရိယာပထ နှင့် သမ္ပဇည ရှုကွက်	iriyāpatha naှင’ya sampajañña raှုkhakya	Iriyapatha and Sampaja view	0
680	735	ဣရိယာပထ ပါဠိတော်	iriyāpatha pāḷitoya	Iriyapatha Pali	1
681	736	အဋ္ဌကထာ၏ ရှင်းလင်းချက်	aṭṭhakathā၏ raှငya”laငya”khaျkya	Explanation of the Eightfold Path	0
682	736	သတ္တဝါဟူသော အယူအဆ	sattavāhūso ayūacha	The concept of beings	5
683	741	ရှုပွားပုံ စနစ်	raှုphā”puṃ canacya	Visual system	0
684	741	ပရမတ်တို့၏ သဘောမှန်	paramatyatiု’၏ sabhomaှnya	Paramatman is one of the topics in focus at Global Oneness	1
685	742	စိတ္တဇရုပ် - နှစ်ဘက်ရ	cittajarupya - naှcyabhakyara	Psychology - Two sides	1
686	743	ရပ်ခိုက်၌ ရှုပွား သိမ်းဆည်းပုံ	rapyakhiုkya၌ raှုphā” simya”chaññya”puṃ	How to save time in a stop	1
687	744	ထိုင်ခိုက်၌ ရုပ်တရားတို့ကို သိမ်းဆည်းပုံ	thiုငyakhiုkya၌ rupyatarā”tiု’kiု simya”chaññya”puṃ	How to store material objects while sitting	1
688	745	လျောင်းခိုက်၌ ရုပ်တရားတို့ကို သိမ်းဆည်းပုံ	laျောငya”khiုkya၌ rupyatarā”tiု’kiု simya”chaññya”puṃ	How to store objects while lying down	2
689	747	ပုဂ္ဂိုလ်မသွား - ငါမသွား - ရုပ်သွား ဉာဏ်ဖြင့်ကြည့်	puggiုlyamashā” - ငါmashā” - rupyashā” ñāṇyaphaြင’yakaြñña’ya	The person does not go - I do not go - look at the physical mind	2
690	749	အကြောင်းဖြစ်သော စိတ်တရား	akaြောငya”phaြcyaso cityatarā”	The mind that is the cause	1
691	750	ယထာ ယထာ ဝါ ပနဿ	yathā yathā vā panassa	Yatha Yathavarpanasa	2
692	752	နှိုင်းခိုင်းဖွယ်ရာ လောကဥပမာ တစ်ရပ်	naှိုငya”khiုငya”phhayyarā lokaupamā tacyarapya	A Comparative World Example	0
693	752	သမ္ပဇည - ရှုကွက် (= အသမ္မောဟသမ္ပဇဉ်)	sampajañña - raှုkhakya (= asammohasampajañya)	Sampaja-Sutta	1
694	753	အဋ္ဌသာလိနီအဋ္ဌကထာ၏ ဖွင့်ဆိုချက်	aṭṭhasālinīaṭṭhakathā၏ phhaင’yachiုkhaျkya	Definition of the Eightfold Path	3
695	756	ဝိညတ် ဟူသည်	viññatya hūsaññya	What is the soul?	3
696	759	မနောဝိညေယျ တရား	manoviññeyaျ tarā”	Spirituality	1
697	760	ဝိညတ်ကို သိသော ဝီထိ	viññatyakiု siso vīthi	Vedic who knows the soul	1
698	761	ကာရေတိ မညေ (အဘိ-ဋ္ဌ-၁-၁၂၅။)	kāreti maññe (abhi-ṭṭha-1-125．)	Carrie Underwood	0
699	761	ဥပမာဆောင်၍ ထင်ရှားအောင်ပြပုံ	upamāchoငya၍ thaငyaraှာ”aောငyapaြpuṃ	How to illustrate	3
700	764	တစ်နည်း ဖွင့်ဆိုပုံ	tacyanaññya” phhaင’yachiုpuṃ	One way to define it	1
701	765	သိထိုက်သော တရား	sithiုkyaso tarā”	Things to know	1
702	766	လှုပ်ရှားမှု ဖြစ်ပေါ်လာပုံ	laှုpyaraှာ”maှု phaြcyapoyalāpuṃ	How the movement came about	1
703	767	လှုပ်ရှားမှုဟူသည်	laှုpyaraှာ”maှုhūsaññya	Movement	2
704	769	မှတ်သားဖွယ်ရာ အက္ခရာစဉ် အညွှန်း	maှtyasā”phhayyarā akkharācañya aññhaှnya”	Notable alphabetical index	
